HIP,HD,ra (deg),dec (deg),V mag,Mv =V + 5log(parallax in mas) -10,parallax in mas,std error on parallax,relative precision of distance,total proper motion (mas/yr),pm in ra (mas/yr),pm in dec (mas/yr),transverse velocity,in CNS3,Name
70890,,217.449,-62.681,11.01,15.45,772.33,2.42,0.003,3852.99,-3775.64,768.16,23.65,*,alpha_Cen_C
71681,128621,219.914,-60.839,1.35,5.7,742.12,1.4,0.002,3724.12,-3600.35,952.11,23.79,*,alpha^2_Cen
71683,128620,219.92,-60.835,-0.01,4.34,742.12,1.4,0.002,3709.62,-3678.19,481.84,23.7,*,alpha^1_Cen
87937,,269.454,4.668,9.54,13.24,549.01,1.58,0.003,10357.7,-797.84,10326.93,89.43,*,Barnard's_star
54035,95735,165.836,35.981,7.49,10.46,392.4,0.91,0.002,4802.27,-580.2,-4767.09,58.01,*,
32349,48915,101.289,-16.713,-1.44,1.45,379.21,1.58,0.004,1339.42,-546.01,-1223.08,16.74,*,alpha_CMa
92403,,282.454,-23.836,10.37,13,336.48,1.82,0.005,665.97,637.55,-192.47,9.38,*,
16537,22049,53.235,-9.458,3.72,6.18,310.75,0.85,0.003,976.61,-976.44,17.97,14.9,*,epsilon_Eri
114046,217987,346.447,-35.856,7.35,9.76,303.9,0.87,0.003,6896.07,6767.26,1326.66,107.57,*,
57548,,176.934,0.808,11.12,13.5,299.58,2.2,0.007,1361.36,605.62,-1219.23,21.54,*,
104214,201091,316.712,38.741,5.2,7.49,287.13,1.51,0.005,5280.65,4155.1,3258.9,87.18,*,61_Cyg_A
37279,61421,114.827,5.228,0.4,2.68,285.93,0.88,0.003,1258.5,-716.57,-1034.58,20.86,*,alpha_CMi
104217,201092,316.717,38.734,6.05,8.33,285.42,0.72,0.003,5172.4,4107.4,3143.72,85.91,*,61_Cyg_B
91772,173740,280.702,59.622,9.7,11.97,284.48,5.01,0.018,2312.51,-1393.2,1845.73,38.53,*,
91768,173739,280.701,59.626,8.94,11.18,280.28,2.57,0.009,2237.91,-1326.88,1802.12,37.85,*,
1475,1326,4.586,44.022,8.09,10.33,280.27,1.05,0.004,2917.95,2888.92,410.58,49.35,*,
108870,209100,330.823,-56.78,4.69,6.89,275.76,0.69,0.003,4703.94,3959.97,-2538.84,80.86,*,epsilon_Ind
8102,10700,26.021,-15.94,3.49,5.68,274.17,0.8,0.003,1922,-1721.82,854.07,33.23,*,tau_Cet
